Obs,"Diagnosis
Code",Code Description,"Code Valid
in FY2017 
(10/1/16 - 9/30/17)",,,,,"CC Age Split 
[use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote,FY,Type
4391,M05369,Rheumatoid heart disease with rheumatoid arthritis of unspecified knee,Y,,,,,,,56,,,2017,Commercial
4392,M05371,Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot,Y,,,,,,,56,,,2017,Commercial
4393,M05372,Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot,Y,,,,,,,56,,,2017,Commercial
4394,M05379,Rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot,Y,,,,,,,56,,,2017,Commercial
4395,M0539,Rheumatoid heart disease with rheumatoid arthritis of multiple sites,Y,,,,,,,56,,,2017,Commercial
4396,M0540,Rheumatoid myopathy with rheumatoid arthritis of unspecified site,Y,,,,,,,56,,,2017,Commercial
4397,M05411,Rheumatoid myopathy with rheumatoid arthritis of right shoulder,Y,,,,,,,56,,,2017,Commercial
4398,M05412,Rheumatoid myopathy with rheumatoid arthritis of left shoulder,Y,,,,,,,56,,,2017,Commercial
4399,M05419,Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder,Y,,,,,,,56,,,2017,Commercial
4400,M05421,Rheumatoid myopathy with rheumatoid arthritis of right elbow,Y,,,,,,,56,,,2017,Commercial
4401,M05422,Rheumatoid myopathy with rheumatoid arthritis of left elbow,Y,,,,,,,56,,,2017,Commercial
4402,M05429,Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow,Y,,,,,,,56,,,2017,Commercial
4403,M05431,Rheumatoid myopathy with rheumatoid arthritis of right wrist,Y,,,,,,,56,,,2017,Commercial
4404,M05432,Rheumatoid myopathy with rheumatoid arthritis of left wrist,Y,,,,,,,56,,,2017,Commercial
4405,M05439,Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist,Y,,,,,,,56,,,2017,Commercial
4406,M05441,Rheumatoid myopathy with rheumatoid arthritis of right hand,Y,,,,,,,56,,,2017,Commercial
4407,M05442,Rheumatoid myopathy with rheumatoid arthritis of left hand,Y,,,,,,,56,,,2017,Commercial
4408,M05449,Rheumatoid myopathy with rheumatoid arthritis of unspecified hand,Y,,,,,,,56,,,2017,Commercial
4409,M05451,Rheumatoid myopathy with rheumatoid arthritis of right hip,Y,,,,,,,56,,,2017,Commercial
4410,M05452,Rheumatoid myopathy with rheumatoid arthritis of left hip,Y,,,,,,,56,,,2017,Commercial
4411,M05459,Rheumatoid myopathy with rheumatoid arthritis of unspecified hip,Y,,,,,,,56,,,2017,Commercial
4412,M05461,Rheumatoid myopathy with rheumatoid arthritis of right knee,Y,,,,,,,56,,,2017,Commercial
4413,M05462,Rheumatoid myopathy with rheumatoid arthritis of left knee,Y,,,,,,,56,,,2017,Commercial
4414,M05469,Rheumatoid myopathy with rheumatoid arthritis of unspecified knee,Y,,,,,,,56,,,2017,Commercial
4415,M05471,Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot,Y,,,,,,,56,,,2017,Commercial
4416,M05472,Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot,Y,,,,,,,56,,,2017,Commercial
4417,M05479,Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot,Y,,,,,,,56,,,2017,Commercial
4418,M0549,Rheumatoid myopathy with rheumatoid arthritis of multiple sites,Y,,,,,,,56,,,2017,Commercial
4419,M0550,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,Y,,,,,,,56,115,,2017,Commercial
4420,M05511,Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,Y,,,,,,,56,115,,2017,Commercial
4421,M05512,Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,Y,,,,,,,56,115,,2017,Commercial
4422,M05519,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,Y,,,,,,,56,115,,2017,Commercial
4423,M05521,Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow,Y,,,,,,,56,115,,2017,Commercial
4424,M05522,Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow,Y,,,,,,,56,115,,2017,Commercial
4425,M05529,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,Y,,,,,,,56,115,,2017,Commercial
4426,M05531,Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,Y,,,,,,,56,115,,2017,Commercial
4427,M05532,Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,Y,,,,,,,56,115,,2017,Commercial
4428,M05539,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,Y,,,,,,,56,115,,2017,Commercial
4429,M05541,Rheumatoid polyneuropathy with rheumatoid arthritis of right hand,Y,,,,,,,56,115,,2017,Commercial
4430,M05542,Rheumatoid polyneuropathy with rheumatoid arthritis of left hand,Y,,,,,,,56,115,,2017,Commercial
4431,M05549,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,Y,,,,,,,56,115,,2017,Commercial
4432,M05551,Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,Y,,,,,,,56,115,,2017,Commercial
4433,M05552,Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,Y,,,,,,,56,115,,2017,Commercial
4434,M05559,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,Y,,,,,,,56,115,,2017,Commercial
4435,M05561,Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,Y,,,,,,,56,115,,2017,Commercial
4436,M05562,Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,Y,,,,,,,56,115,,2017,Commercial
4437,M05569,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,Y,,,,,,,56,115,,2017,Commercial
4438,M05571,Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot,Y,,,,,,,56,115,,2017,Commercial
4439,M05572,Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot,Y,,,,,,,56,115,,2017,Commercial
4440,M05579,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,Y,,,,,,,56,115,,2017,Commercial
4441,M0559,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,Y,,,,,,,56,115,,2017,Commercial
4442,M0560,Rheumatoid arthritis of unspecified site with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4443,M05611,Rheumatoid arthritis of right shoulder with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4444,M05612,Rheumatoid arthritis of left shoulder with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4445,M05619,Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4446,M05621,Rheumatoid arthritis of right elbow with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4447,M05622,Rheumatoid arthritis of left elbow with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4448,M05629,Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4449,M05631,Rheumatoid arthritis of right wrist with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4450,M05632,Rheumatoid arthritis of left wrist with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4451,M05639,Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4452,M05641,Rheumatoid arthritis of right hand with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4453,M05642,Rheumatoid arthritis of left hand with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4454,M05649,Rheumatoid arthritis of unspecified hand with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4455,M05651,Rheumatoid arthritis of right hip with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4456,M05652,Rheumatoid arthritis of left hip with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4457,M05659,Rheumatoid arthritis of unspecified hip with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4458,M05661,Rheumatoid arthritis of right knee with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4459,M05662,Rheumatoid arthritis of left knee with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4460,M05669,Rheumatoid arthritis of unspecified knee with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4461,M05671,Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4462,M05672,Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4463,M05679,Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4464,M0569,Rheumatoid arthritis of multiple sites with involvement of other organs and systems,Y,,,,,,,56,,,2017,Commercial
4465,M0570,Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4466,M05711,Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4467,M05712,Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4468,M05719,Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4469,M05721,Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4470,M05722,Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4471,M05729,Rheumatoid arthritis with rheumatoid factor of unspecified elbow without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4472,M05731,Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4473,M05732,Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4474,M05739,Rheumatoid arthritis with rheumatoid factor of unspecified wrist without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4475,M05741,Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4476,M05742,Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4477,M05749,Rheumatoid arthritis with rheumatoid factor of unspecified hand without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4478,M05751,Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4479,M05752,Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4480,M05759,Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4481,M05761,Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4482,M05762,Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4483,M05769,Rheumatoid arthritis with rheumatoid factor of unspecified knee without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4484,M05771,Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4485,M05772,Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4486,M05779,Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4487,M0579,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement,Y,,,,,,,56,,,2017,Commercial
4488,M0580,Other rheumatoid arthritis with rheumatoid factor of unspecified site,Y,,,,,,,56,,,2017,Commercial
4489,M05811,Other rheumatoid arthritis with rheumatoid factor of right shoulder,Y,,,,,,,56,,,2017,Commercial
4490,M05812,Other rheumatoid arthritis with rheumatoid factor of left shoulder,Y,,,,,,,56,,,2017,Commercial
4491,M05819,Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder,Y,,,,,,,56,,,2017,Commercial
4492,M05821,Other rheumatoid arthritis with rheumatoid factor of right elbow,Y,,,,,,,56,,,2017,Commercial
4493,M05822,Other rheumatoid arthritis with rheumatoid factor of left elbow,Y,,,,,,,56,,,2017,Commercial
4494,M05829,Other rheumatoid arthritis with rheumatoid factor of unspecified elbow,Y,,,,,,,56,,,2017,Commercial
4495,M05831,Other rheumatoid arthritis with rheumatoid factor of right wrist,Y,,,,,,,56,,,2017,Commercial
4496,M05832,Other rheumatoid arthritis with rheumatoid factor of left wrist,Y,,,,,,,56,,,2017,Commercial
4497,M05839,Other rheumatoid arthritis with rheumatoid factor of unspecified wrist,Y,,,,,,,56,,,2017,Commercial
4498,M05841,Other rheumatoid arthritis with rheumatoid factor of right hand,Y,,,,,,,56,,,2017,Commercial
4499,M05842,Other rheumatoid arthritis with rheumatoid factor of left hand,Y,,,,,,,56,,,2017,Commercial
4500,M05849,Other rheumatoid arthritis with rheumatoid factor of unspecified hand,Y,,,,,,,56,,,2017,Commercial
4501,M05851,Other rheumatoid arthritis with rheumatoid factor of right hip,Y,,,,,,,56,,,2017,Commercial
4502,M05852,Other rheumatoid arthritis with rheumatoid factor of left hip,Y,,,,,,,56,,,2017,Commercial
4503,M05859,Other rheumatoid arthritis with rheumatoid factor of unspecified hip,Y,,,,,,,56,,,2017,Commercial
4504,M05861,Other rheumatoid arthritis with rheumatoid factor of right knee,Y,,,,,,,56,,,2017,Commercial
4505,M05862,Other rheumatoid arthritis with rheumatoid factor of left knee,Y,,,,,,,56,,,2017,Commercial
4506,M05869,Other rheumatoid arthritis with rheumatoid factor of unspecified knee,Y,,,,,,,56,,,2017,Commercial
4507,M05871,Other rheumatoid arthritis with rheumatoid factor of right ankle and foot,Y,,,,,,,56,,,2017,Commercial
4508,M05872,Other rheumatoid arthritis with rheumatoid factor of left ankle and foot,Y,,,,,,,56,,,2017,Commercial
4509,M05879,Other rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot,Y,,,,,,,56,,,2017,Commercial
4510,M0589,Other rheumatoid arthritis with rheumatoid factor of multiple sites,Y,,,,,,,56,,,2017,Commercial
4511,M059,"Rheumatoid arthritis with rheumatoid factor, unspecified",Y,,,,,,,56,,,2017,Commercial
4512,M0600,"Rheumatoid arthritis without rheumatoid factor, unspecified site",Y,,,,,,,56,,,2017,Commercial
4513,M06011,"Rheumatoid arthritis without rheumatoid factor, right shoulder",Y,,,,,,,56,,,2017,Commercial
4514,M06012,"Rheumatoid arthritis without rheumatoid factor, left shoulder",Y,,,,,,,56,,,2017,Commercial
4515,M06019,"Rheumatoid arthritis without rheumatoid factor, unspecified shoulder",Y,,,,,,,56,,,2017,Commercial
4516,M06021,"Rheumatoid arthritis without rheumatoid factor, right elbow",Y,,,,,,,56,,,2017,Commercial
4517,M06022,"Rheumatoid arthritis without rheumatoid factor, left elbow",Y,,,,,,,56,,,2017,Commercial
4518,M06029,"Rheumatoid arthritis without rheumatoid factor, unspecified elbow",Y,,,,,,,56,,,2017,Commercial
4519,M06031,"Rheumatoid arthritis without rheumatoid factor, right wrist",Y,,,,,,,56,,,2017,Commercial
4520,M06032,"Rheumatoid arthritis without rheumatoid factor, left wrist",Y,,,,,,,56,,,2017,Commercial
4521,M06039,"Rheumatoid arthritis without rheumatoid factor, unspecified wrist",Y,,,,,,,56,,,2017,Commercial
4522,M06041,"Rheumatoid arthritis without rheumatoid factor, right hand",Y,,,,,,,56,,,2017,Commercial
4523,M06042,"Rheumatoid arthritis without rheumatoid factor, left hand",Y,,,,,,,56,,,2017,Commercial
4524,M06049,"Rheumatoid arthritis without rheumatoid factor, unspecified hand",Y,,,,,,,56,,,2017,Commercial
4525,M06051,"Rheumatoid arthritis without rheumatoid factor, right hip",Y,,,,,,,56,,,2017,Commercial
4526,M06052,"Rheumatoid arthritis without rheumatoid factor, left hip",Y,,,,,,,56,,,2017,Commercial
4527,M06059,"Rheumatoid arthritis without rheumatoid factor, unspecified hip",Y,,,,,,,56,,,2017,Commercial
4528,M06061,"Rheumatoid arthritis without rheumatoid factor, right knee",Y,,,,,,,56,,,2017,Commercial
4529,M06062,"Rheumatoid arthritis without rheumatoid factor, left knee",Y,,,,,,,56,,,2017,Commercial
4530,M06069,"Rheumatoid arthritis without rheumatoid factor, unspecified knee",Y,,,,,,,56,,,2017,Commercial
4531,M06071,"Rheumatoid arthritis without rheumatoid factor, right ankle and foot",Y,,,,,,,56,,,2017,Commercial
4532,M06072,"Rheumatoid arthritis without rheumatoid factor, left ankle and foot",Y,,,,,,,56,,,2017,Commercial
4533,M06079,"Rheumatoid arthritis without rheumatoid factor, unspecified ankle and foot",Y,,,,,,,56,,,2017,Commercial
4534,M0608,"Rheumatoid arthritis without rheumatoid factor, vertebrae",Y,,,,,,,56,,,2017,Commercial
4535,M0609,"Rheumatoid arthritis without rheumatoid factor, multiple sites",Y,,,,,,,56,,,2017,Commercial
4536,M061,Adult-onset Still's disease,Y,,,,,,,56,,,2017,Commercial
4537,M0620,"Rheumatoid bursitis, unspecified site",Y,,,,,,,56,,,2017,Commercial
4538,M06211,"Rheumatoid bursitis, right shoulder",Y,,,,,,,56,,,2017,Commercial
4539,M06212,"Rheumatoid bursitis, left shoulder",Y,,,,,,,56,,,2017,Commercial
4540,M06219,"Rheumatoid bursitis, unspecified shoulder",Y,,,,,,,56,,,2017,Commercial
4541,M06221,"Rheumatoid bursitis, right elbow",Y,,,,,,,56,,,2017,Commercial
4542,M06222,"Rheumatoid bursitis, left elbow",Y,,,,,,,56,,,2017,Commercial
4543,M06229,"Rheumatoid bursitis, unspecified elbow",Y,,,,,,,56,,,2017,Commercial
4544,M06231,"Rheumatoid bursitis, right wrist",Y,,,,,,,56,,,2017,Commercial
4545,M06232,"Rheumatoid bursitis, left wrist",Y,,,,,,,56,,,2017,Commercial
4546,M06239,"Rheumatoid bursitis, unspecified wrist",Y,,,,,,,56,,,2017,Commercial
4547,M06241,"Rheumatoid bursitis, right hand",Y,,,,,,,56,,,2017,Commercial
4548,M06242,"Rheumatoid bursitis, left hand",Y,,,,,,,56,,,2017,Commercial
4549,M06249,"Rheumatoid bursitis, unspecified hand",Y,,,,,,,56,,,2017,Commercial
4550,M06251,"Rheumatoid bursitis, right hip",Y,,,,,,,56,,,2017,Commercial
4551,M06252,"Rheumatoid bursitis, left hip",Y,,,,,,,56,,,2017,Commercial
4552,M06259,"Rheumatoid bursitis, unspecified hip",Y,,,,,,,56,,,2017,Commercial
4553,M06261,"Rheumatoid bursitis, right knee",Y,,,,,,,56,,,2017,Commercial
4554,M06262,"Rheumatoid bursitis, left knee",Y,,,,,,,56,,,2017,Commercial
4555,M06269,"Rheumatoid bursitis, unspecified knee",Y,,,,,,,56,,,2017,Commercial
4556,M06271,"Rheumatoid bursitis, right ankle and foot",Y,,,,,,,56,,,2017,Commercial
4557,M06272,"Rheumatoid bursitis, left ankle and foot",Y,,,,,,,56,,,2017,Commercial
4558,M06279,"Rheumatoid bursitis, unspecified ankle and foot",Y,,,,,,,56,,,2017,Commercial
4559,M0628,"Rheumatoid bursitis, vertebrae",Y,,,,,,,56,,,2017,Commercial
4560,M0629,"Rheumatoid bursitis, multiple sites",Y,,,,,,,56,,,2017,Commercial
4561,M0630,"Rheumatoid nodule, unspecified site",Y,,,,,,,56,,,2017,Commercial
4562,M06311,"Rheumatoid nodule, right shoulder",Y,,,,,,,56,,,2017,Commercial
4563,M06312,"Rheumatoid nodule, left shoulder",Y,,,,,,,56,,,2017,Commercial
4564,M06319,"Rheumatoid nodule, unspecified shoulder",Y,,,,,,,56,,,2017,Commercial
4565,M06321,"Rheumatoid nodule, right elbow",Y,,,,,,,56,,,2017,Commercial
4566,M06322,"Rheumatoid nodule, left elbow",Y,,,,,,,56,,,2017,Commercial
4567,M06329,"Rheumatoid nodule, unspecified elbow",Y,,,,,,,56,,,2017,Commercial
4568,M06331,"Rheumatoid nodule, right wrist",Y,,,,,,,56,,,2017,Commercial
4569,M06332,"Rheumatoid nodule, left wrist",Y,,,,,,,56,,,2017,Commercial
4570,M06339,"Rheumatoid nodule, unspecified wrist",Y,,,,,,,56,,,2017,Commercial
4571,M06341,"Rheumatoid nodule, right hand",Y,,,,,,,56,,,2017,Commercial
4572,M06342,"Rheumatoid nodule, left hand",Y,,,,,,,56,,,2017,Commercial
4573,M06349,"Rheumatoid nodule, unspecified hand",Y,,,,,,,56,,,2017,Commercial
4574,M06351,"Rheumatoid nodule, right hip",Y,,,,,,,56,,,2017,Commercial
4575,M06352,"Rheumatoid nodule, left hip",Y,,,,,,,56,,,2017,Commercial
4576,M06359,"Rheumatoid nodule, unspecified hip",Y,,,,,,,56,,,2017,Commercial
4577,M06361,"Rheumatoid nodule, right knee",Y,,,,,,,56,,,2017,Commercial
4578,M06362,"Rheumatoid nodule, left knee",Y,,,,,,,56,,,2017,Commercial
4579,M06369,"Rheumatoid nodule, unspecified knee",Y,,,,,,,56,,,2017,Commercial
4580,M06371,"Rheumatoid nodule, right ankle and foot",Y,,,,,,,56,,,2017,Commercial
4581,M06372,"Rheumatoid nodule, left ankle and foot",Y,,,,,,,56,,,2017,Commercial
4582,M06379,"Rheumatoid nodule, unspecified ankle and foot",Y,,,,,,,56,,,2017,Commercial
4583,M0638,"Rheumatoid nodule, vertebrae",Y,,,,,,,56,,,2017,Commercial
4584,M0639,"Rheumatoid nodule, multiple sites",Y,,,,,,,56,,,2017,Commercial
4585,M064,Inflammatory polyarthropathy,Y,,,,,,,57,,,2017,Commercial
4586,M0680,"Other specified rheumatoid arthritis, unspecified site",Y,,,,,,,56,,,2017,Commercial
4587,M06811,"Other specified rheumatoid arthritis, right shoulder",Y,,,,,,,56,,,2017,Commercial
4588,M06812,"Other specified rheumatoid arthritis, left shoulder",Y,,,,,,,56,,,2017,Commercial
4589,M06819,"Other specified rheumatoid arthritis, unspecified shoulder",Y,,,,,,,56,,,2017,Commercial
4590,M06821,"Other specified rheumatoid arthritis, right elbow",Y,,,,,,,56,,,2017,Commercial
4591,M06822,"Other specified rheumatoid arthritis, left elbow",Y,,,,,,,56,,,2017,Commercial
4592,M06829,"Other specified rheumatoid arthritis, unspecified elbow",Y,,,,,,,56,,,2017,Commercial
4593,M06831,"Other specified rheumatoid arthritis, right wrist",Y,,,,,,,56,,,2017,Commercial
4594,M06832,"Other specified rheumatoid arthritis, left wrist",Y,,,,,,,56,,,2017,Commercial
4595,M06839,"Other specified rheumatoid arthritis, unspecified wrist",Y,,,,,,,56,,,2017,Commercial
4596,M06841,"Other specified rheumatoid arthritis, right hand",Y,,,,,,,56,,,2017,Commercial
4597,M06842,"Other specified rheumatoid arthritis, left hand",Y,,,,,,,56,,,2017,Commercial
4598,M06849,"Other specified rheumatoid arthritis, unspecified hand",Y,,,,,,,56,,,2017,Commercial
4599,M06851,"Other specified rheumatoid arthritis, right hip",Y,,,,,,,56,,,2017,Commercial
4600,M06852,"Other specified rheumatoid arthritis, left hip",Y,,,,,,,56,,,2017,Commercial
4601,M06859,"Other specified rheumatoid arthritis, unspecified hip",Y,,,,,,,56,,,2017,Commercial
4602,M06861,"Other specified rheumatoid arthritis, right knee",Y,,,,,,,56,,,2017,Commercial
4603,M06862,"Other specified rheumatoid arthritis, left knee",Y,,,,,,,56,,,2017,Commercial
4604,M06869,"Other specified rheumatoid arthritis, unspecified knee",Y,,,,,,,56,,,2017,Commercial
4605,M06871,"Other specified rheumatoid arthritis, right ankle and foot",Y,,,,,,,56,,,2017,Commercial
4606,M06872,"Other specified rheumatoid arthritis, left ankle and foot",Y,,,,,,,56,,,2017,Commercial
4607,M06879,"Other specified rheumatoid arthritis, unspecified ankle and foot",Y,,,,,,,56,,,2017,Commercial
4608,M0688,"Other specified rheumatoid arthritis, vertebrae",Y,,,,,,,56,,,2017,Commercial
4609,M0689,"Other specified rheumatoid arthritis, multiple sites",Y,,,,,,,56,,,2017,Commercial
4610,M069,"Rheumatoid arthritis, unspecified",Y,,,,,,,56,,,2017,Commercial
4611,M0800,Unspecified juvenile rheumatoid arthritis of unspecified site,Y,,,,,,,56,,,2017,Commercial
4612,M08011,"Unspecified juvenile rheumatoid arthritis, right shoulder",Y,,,,,,,56,,,2017,Commercial
4613,M08012,"Unspecified juvenile rheumatoid arthritis, left shoulder",Y,,,,,,,56,,,2017,Commercial
4614,M08019,"Unspecified juvenile rheumatoid arthritis, unspecified shoulder",Y,,,,,,,56,,,2017,Commercial
4615,M08021,"Unspecified juvenile rheumatoid arthritis, right elbow",Y,,,,,,,56,,,2017,Commercial
4616,M08022,"Unspecified juvenile rheumatoid arthritis, left elbow",Y,,,,,,,56,,,2017,Commercial
4617,M08029,"Unspecified juvenile rheumatoid arthritis, unspecified elbow",Y,,,,,,,56,,,2017,Commercial
4618,M08031,"Unspecified juvenile rheumatoid arthritis, right wrist",Y,,,,,,,56,,,2017,Commercial
4619,M08032,"Unspecified juvenile rheumatoid arthritis, left wrist",Y,,,,,,,56,,,2017,Commercial
4620,M08039,"Unspecified juvenile rheumatoid arthritis, unspecified wrist",Y,,,,,,,56,,,2017,Commercial
4621,M08041,"Unspecified juvenile rheumatoid arthritis, right hand",Y,,,,,,,56,,,2017,Commercial
4622,M08042,"Unspecified juvenile rheumatoid arthritis, left hand",Y,,,,,,,56,,,2017,Commercial
4623,M08049,"Unspecified juvenile rheumatoid arthritis, unspecified hand",Y,,,,,,,56,,,2017,Commercial
4624,M08051,"Unspecified juvenile rheumatoid arthritis, right hip",Y,,,,,,,56,,,2017,Commercial
4625,M08052,"Unspecified juvenile rheumatoid arthritis, left hip",Y,,,,,,,56,,,2017,Commercial
4626,M08059,"Unspecified juvenile rheumatoid arthritis, unspecified hip",Y,,,,,,,56,,,2017,Commercial
4627,M08061,"Unspecified juvenile rheumatoid arthritis, right knee",Y,,,,,,,56,,,2017,Commercial
4628,M08062,"Unspecified juvenile rheumatoid arthritis, left knee",Y,,,,,,,56,,,2017,Commercial
4629,M08069,"Unspecified juvenile rheumatoid arthritis, unspecified knee",Y,,,,,,,56,,,2017,Commercial
4630,M08071,"Unspecified juvenile rheumatoid arthritis, right ankle and foot",Y,,,,,,,56,,,2017,Commercial
4631,M08072,"Unspecified juvenile rheumatoid arthritis, left ankle and foot",Y,,,,,,,56,,,2017,Commercial
4632,M08079,"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot",Y,,,,,,,56,,,2017,Commercial
4633,M0808,"Unspecified juvenile rheumatoid arthritis, vertebrae",Y,,,,,,,56,,,2017,Commercial
4634,M0809,"Unspecified juvenile rheumatoid arthritis, multiple sites",Y,,,,,,,56,,,2017,Commercial
4635,M081,Juvenile ankylosing spondylitis,Y,,,,,,,56,,,2017,Commercial
4636,M0820,"Juvenile rheumatoid arthritis with systemic onset, unspecified site",Y,,,,,,,56,,,2017,Commercial
4637,M08211,"Juvenile rheumatoid arthritis with systemic onset, right shoulder",Y,,,,,,,56,,,2017,Commercial
4638,M08212,"Juvenile rheumatoid arthritis with systemic onset, left shoulder",Y,,,,,,,56,,,2017,Commercial
4639,M08219,"Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder",Y,,,,,,,56,,,2017,Commercial
4640,M08221,"Juvenile rheumatoid arthritis with systemic onset, right elbow",Y,,,,,,,56,,,2017,Commercial
4641,M08222,"Juvenile rheumatoid arthritis with systemic onset, left elbow",Y,,,,,,,56,,,2017,Commercial
4642,M08229,"Juvenile rheumatoid arthritis with systemic onset, unspecified elbow",Y,,,,,,,56,,,2017,Commercial
4643,M08231,"Juvenile rheumatoid arthritis with systemic onset, right wrist",Y,,,,,,,56,,,2017,Commercial
